date,transportation_distance,fuel_consumption,production_volume,energy_usage,warehouse_area,num_suppliers,vehicle_type,transportation_mode,product_category,region,carbon_emissions,year,month,day,day_of_week,quarter,is_weekend,week_of_year,month_sin,month_cos,day_of_week_sin,day_of_week_cos,carbon_emissions_lag_1,carbon_emissions_lag_3,carbon_emissions_lag_7,carbon_emissions_lag_30,carbon_emissions_rolling_mean_7,carbon_emissions_rolling_std_7,carbon_emissions_rolling_min_7,carbon_emissions_rolling_max_7,carbon_emissions_rolling_mean_14,carbon_emissions_rolling_std_14,carbon_emissions_rolling_min_14,carbon_emissions_rolling_max_14,carbon_emissions_rolling_mean_30,carbon_emissions_rolling_std_30,carbon_emissions_rolling_min_30,carbon_emissions_rolling_max_30,emission_intensity,fuel_efficiency,emission_per_unit
2023-01-31,646.8,66.7,2501,2421.0,7820,5,electric_van,sea,machinery,west,242.1,2023,1,31,1,1,0,5,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,195.2,1486.7,2180.0875,424.1,886.8553571428572,744.5694198892587,195.2,2180.0875,938.7044642857144,762.2910460321232,195.2,2180.0875,1023.1245833333335,728.6228123505481,195.2,2180.0875,0.3737264587835752,9.553914327917282,0.09676258992805756
2023-02-01,253.5,318.3,1171,496.4,6558,28,electric_van,rail,chemicals,south,226.2,2023,2,1,2,1,0,5,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,242.1,566.1,402.0,1345.9,861.7410714285714,766.2970940773364,195.2,2180.0875,799.1410714285714,693.2686740083268,195.2,2180.0875,985.8012500000001,740.1062077379298,195.2,2180.0875,0.8888015717092338,0.7939242092076417,0.19300341296928328
2023-02-02,158.5,153.5,3774,1811.4,7478,32,diesel_truck,road,food,south,827.3,2023,2,2,3,1,0,5,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,226.2,195.2,1135.8,1188.9,817.6696428571429,756.7198153549925,195.2,2180.0875,792.3125,692.426210904871,195.2,2180.0875,973.7479166666667,739.6288403279468,195.2,2180.0875,5.186833855799373,1.0258899676375404,0.2191523178807947
2023-02-03,954.0,104.3,1671,1386.4,9531,16,electric_van,sea,automotive,west,272.1,2023,2,3,4,1,0,5,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,827.3,242.1,2180.0875,353.8,545.1,475.5967514607322,195.2,1486.7,782.2982142857144,699.3244152129339,195.2,2180.0875,971.0245833333333,742.1363780504887,195.2,2180.0875,0.2849214659685864,9.05982905982906,0.16273923444976077
2023-02-04,969.1,84.6,1995,1152.8,7620,9,diesel_truck,sea,food,south,550.2,2023,2,4,5,1,1,5,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,272.1,226.2,1486.7,2180.0875,411.31428571428575,239.88842843130186,195.2,827.3,784.1910714285714,698.6061217880397,195.2,2180.0875,916.695,709.5150065209673,195.2,2180.0875,0.5671580249458819,11.32126168224299,0.2756513026052104
2023-02-05,827.6,363.3,1443,1692.0,5985,24,electric_van,sea,machinery,east,278.0,2023,2,5,6,1,1,5,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,550.2,827.3,566.1,295.7,370.15714285714284,233.53638443965144,195.2,827.3,780.5053571428571,701.3197915310333,195.2,2180.0875,916.105,710.0563566723856,195.2,2180.0875,0.3355056722181994,2.2717540488608288,0.1925207756232687
2023-02-06,374.2,202.9,2746,1848.5,11112,29,electric_van,road,electronics,east,448.3,2023,2,6,0,1,0,6,0.8660254037844386,0.5000000000000001,0.0,1.0,278.0,272.1,195.2,405.6,406.31428571428575,221.20141220594977,226.2,827.3,785.0125,698.7820460863976,195.2,2180.0875,917.5283333333333,709.039813252612,195.2,2180.0875,1.1948294243070363,1.8352133398724864,0.16319621405169277
2023-02-07,187.9,376.1,1949,309.6,11467,9,hybrid_truck,road,electronics,north,466.0,2023,2,7,1,1,0,6,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,448.3,550.2,242.1,2180.0875,438.30000000000007,209.3700233239428,226.2,827.3,662.5776785714287,574.6921079139015,195.2,2180.0875,860.3920833333334,671.8803234230433,195.2,2180.0875,2.466913710958179,0.4982763192787059,0.23897435897435898
2023-02-08,715.8,79.4,3039,667.3,5547,12,hybrid_truck,sea,textiles,south,327.7,2023,2,8,2,1,0,6,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,466.0,278.0,226.2,510.0,452.8,195.27290305280025,272.1,827.3,657.2705357142858,577.6192023498255,195.2,2180.0875,854.3154166666667,675.9705759852872,195.2,2180.0875,0.45717075892857145,8.902985074626864,0.10779605263157895
2023-02-09,496.1,191.9,1395,1868.7,3336,19,hybrid_truck,sea,pharmaceuticals,east,333.8,2023,2,9,3,1,0,6,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,327.7,448.3,827.3,679.5,382.30000000000007,106.38612064864692,272.1,550.2,599.9848214285714,566.1659755577799,195.2,2180.0875,842.7920833333334,681.9733694135426,195.2,2180.0875,0.6714946690806679,2.571798859512701,0.23911174785100286
2023-02-10,209.8,292.8,2689,1766.0,5979,14,diesel_truck,air,chemicals,west,2180.0875,2023,2,10,4,1,0,6,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,333.8,466.0,272.1,230.4,654.8696428571428,679.1838759012375,278.0,2180.0875,599.9848214285714,566.1659755577799,195.2,2180.0875,907.7816666666666,713.760517418535,195.2,2180.0875,10.341971062618596,0.7140912185159973,0.8104414498141265
2023-02-11,545.7,405.8,1836,2425.3,6968,10,diesel_truck,sea,consumer_goods,south,644.5,2023,2,11,5,1,1,6,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,2180.0875,327.7,550.2,1572.0,668.3410714285716,677.6953424841458,278.0,2180.0875,539.8276785714286,506.2778426858885,195.2,2180.0875,876.865,704.0186185791073,195.2,2180.0875,1.178891531004207,1.3414454277286136,0.35084376701143166
